Position (m),Bz field (G)
-0.5000000000000002,7.4915925607157785
-0.49990000000000023,7.495134396994434
-0.4998,7.498678469825186
-0.49970000000000003,7.5022247809764995
-0.49960000000000004,7.5057733322185225
-0.49950000000000006,7.509324125323083
-0.49940000000000007,7.512877162063694
-0.4993000000000001,7.516432444215555
-0.4992000000000001,7.519989973555559
-0.4991000000000001,7.52354975186228
-0.4990000000000001,7.52711178091599
-0.4989000000000001,7.530676062498655
-0.49880000000000013,7.534242598393938
-0.49870000000000014,7.537811390387194
-0.49860000000000015,7.541382440265485
-0.49850000000000017,7.544955749817568
-0.4984000000000002,7.54853132083391
-0.4983000000000002,7.5521091551066775
-0.4982000000000002,7.555689254429748
-0.4981000000000002,7.559271620598706
-0.4980000000000002,7.56285625541085
-0.49790000000000023,7.566443160665184
-0.49780000000000024,7.570032338162438
-0.49770000000000003,7.573623789705055
-0.49760000000000004,7.577217517097189
-0.49750000000000005,7.580813522144725
-0.49740000000000006,7.584411806655263
-0.4973000000000001,7.588012372438133
-0.4972000000000001,7.591615221304389
-0.4971000000000001,7.595220355066813
-0.4970000000000001,7.598827775539915
-0.4969000000000001,7.602437484539946
-0.49680000000000013,7.606049483884879
-0.49670000000000014,7.609663775394432
-0.49660000000000015,7.613280360890058
-0.49650000000000016,7.6168992421949495
-0.4964000000000002,7.6205204211340405
-0.4963000000000002,7.624143899534008
-0.4962000000000002,7.627769679223281
-0.4961000000000002,7.631397762032028
-0.4960000000000002,7.635028149792172
-0.49590000000000023,7.638660844337386
-0.49580000000000024,7.642295847503096
-0.49570000000000003,7.645933161126488
-0.49560000000000004,7.649572787046497
-0.49550000000000005,7.653214727103826
-0.49540000000000006,7.6568589831409355
-0.4953000000000001,7.660505557002048
-0.4952000000000001,7.664154450533156
-0.4951000000000001,7.667805665582014
-0.4950000000000001,7.671459203998149
-0.4949000000000001,7.6751150676328574
-0.49480000000000013,7.678773258339211
-0.49470000000000014,7.68243377797206
-0.49460000000000015,7.6860966283880225
-0.49450000000000016,7.689761811445502
-0.4944000000000002,7.693429329004684
-0.4943000000000002,7.697099182927534
-0.4942000000000002,7.7007713750778075
-0.4941000000000002,7.704445907321041
-0.4940000000000002,7.708122781524566
-0.4939000000000002,7.7118019995574985
-0.49380000000000024,7.715483563290758
-0.4937,7.7191674745970476
-0.49360000000000004,7.722853735350878
-0.49350000000000005,7.726542347428551
-0.49340000000000006,7.730233312708173
-0.49330000000000007,7.733926633069654
-0.4932000000000001,7.737622310394713
-0.4931000000000001,7.74132034656687
-0.4930000000000001,7.745020743471455
-0.4929000000000001,7.748723502995616
